id,nick,Total kills,Headshot %,Total deaths,K/D Ratio,Damage / Round,Grenade dmg / Round,Maps played,Rounds played,Kills / round,Assists / round,Deaths / round,Saved by teammate / round,Saved teammates / round,Rating 2.0,Kills,Deaths,Kill / Death,Kill / Round,Rounds with kills,Kill - Death difference,Total opening kills,Total opening deaths,Opening kill ratio,Opening kill rating,Team win percent after first kill,First kill in won rounds,0 kill rounds,1 kill rounds,2 kill rounds,3 kill rounds,4 kill rounds,5 kill rounds,Rifle kills,Sniper kills,SMG kills,Pistol kills,Grenade,Other,awp,ak47,m4a1,usp_silencer,deagle,glock,p250,sg556,mp9,mac10,m4a1_silencer,cz75a,ump45,ssg08,galilar,famas,aug,hegrenade,tec9,mp5sd,fiveseven,hkp2000,mp7,world,bizon,nova,taser,mag7,p90,smokegrenade,decoy,sawedoff,scar20,usp_silencer_off,xm1014,g3sg1,negev,knife,m4a1_silencer_off,revolver,gallil,Rating 1.0,m249,molotov,flashbang,molotov_projectile,incgrenade,zeus
11257,celrate,6490,52.3%,6433,1.01,72.8,3.1,361,9660,0.67,0.12,0.67,0.11,0.13,1.03,6490,6433,1.01,0.67,4420,K - D diff.,804,888,0.91,0.93,70.0%,12.2%,5240,2859,1135,351,67,8,4761,183,349,1130,69,29,114,2566,532,356,392,247,39,347,140,50,644,50,130,60,37,133,502,42,25,29,10,6,0,15,0,0,3,9,0,0,,0,5,0,0,4,0,0,,,,,0,0,0,,,
16769,realzin,8530,50.1%,8419,1.01,73.9,5.6,487,12849,0.66,0.14,0.66,0.11,0.09,1.07,8530,8419,1.01,0.66,5839,K - D diff.,1282,1378,0.93,0.99,70.4%,13.5%,7010,3839,1421,475,96,8,6005,127,728,1513,144,36,109,2842,1498,462,321,400,72,386,289,178,140,139,228,18,207,105,827,84,39,25,25,51,8,12,0,0,4,7,0,,,,0,,1,0,,0,,0,,,,0,,,,
284,jackz,17833,58.2%,17849,1.00,74.8,3.4,993,26275,0.68,0.13,0.68,0.10,0.10,,17833,17849,1.00,0.68,12030,K - D diff.,2922,3074,0.95,1.03,72.9%,15.6%,14245,7653,3181,986,190,20,13071,245,1240,3067,175,84,225,7709,2986,889,759,724,95,24,490,585,1048,453,155,20,141,267,896,74,94,5,10,42,5,20,0,0,0,2,0,0,,0,0,0,58,0,,0,,0,,0.99,0,0,,,,
12593,j1rah,12250,45.9%,12122,1.01,73.4,4.6,707,18278,0.67,0.13,0.66,0.10,0.08,1.04,12250,12122,1.01,0.67,8342,K - D diff.,1871,2002,0.93,1.00,76.3%,14.6%,9936,5377,2166,669,116,14,8546,964,706,1823,166,82,875,4540,2352,633,304,331,249,194,246,250,446,102,171,88,284,336,394,82,56,19,140,2,4,24,0,10,6,22,16,,,0,1,0,7,0,0,0,0,0,,,,,,,0,
147,sixer,17492,39.0%,16758,1.04,69.6,2.6,1015,26729,0.65,0.11,0.63,0.09,0.10,,17492,16758,1.04,0.65,12211,K - D diff.,2309,2036,1.13,0.97,72.4%,12.4%,14518,8071,3138,870,125,7,7496,5562,829,3460,154,44,5343,4436,1576,968,735,605,468,81,183,349,707,311,293,218,253,312,130,68,286,0,64,21,4,21,0,0,0,15,0,,,0,0,2,2,1,,0,1,,,0.99,,,,,,
12083,ydna,7636,38.9%,7533,1.01,71.0,2.9,435,11265,0.68,0.11,0.67,0.09,0.10,1.03,7636,7533,1.01,0.68,5215,K - D diff.,1305,1112,1.17,1.08,72.7%,17.4%,6050,3350,1379,418,66,2,2527,3134,317,1576,85,11,2994,1698,496,478,304,298,290,51,37,54,71,112,189,135,55,82,74,52,42,3,47,5,28,5,3,0,0,2,3,,,0,3,0,3,2,0,0,,0,,,0,1,,0,0,
12710,gmd,8389,53.5%,8436,0.99,75.4,3.5,464,12098,0.69,0.14,0.70,0.11,0.11,1.05,8389,8436,0.99,0.69,5676,K - D diff.,1188,1355,0.88,0.97,71.4%,14.1%,6422,3613,1527,432,94,10,5997,375,398,1551,66,18,351,3261,1607,464,333,319,80,261,51,71,220,268,264,24,170,257,221,23,23,2,34,29,8,3,0,0,1,11,2,,,0,0,,0,0,,0,,,,,0,,,0,,
338,markeloff,19780,41.6%,19292,1.03,74.3,5.0,1143,29624,0.67,0.15,0.65,0.08,0.09,,19780,19292,1.03,0.67,13622,K - D diff.,2299,2181,1.05,0.93,74.2%,11.5%,16002,8902,3532,1000,172,16,13350,1913,724,3380,363,61,1850,7111,2169,686,433,731,591,9,74,132,2950,260,323,60,441,641,28,263,157,,144,361,124,0,22,13,0,34,49,0,,1,3,8,1,0,,0,1,0,1,0.99,0,,,0,,
7296,puls3,7860,43.3%,7786,1.01,74.7,3.8,436,11572,0.68,0.15,0.67,0.11,0.12,,7860,7786,1.01,0.68,5377,K - D diff.,1063,995,1.07,0.98,70.5%,13.2%,6195,3482,1401,409,79,6,5040,795,456,1451,103,23,731,2815,1470,349,209,338,133,82,155,70,188,199,115,64,83,157,245,50,64,3,126,33,87,1,0,0,0,20,26,0,,0,0,0,0,0,0,0,,,,0.99,,,0,,,
12101,neptune,9091,55.4%,9114,1.00,74.8,3.1,498,13218,0.69,0.13,0.69,0.11,0.10,1.04,9091,9114,1.00,0.69,6161,K - D diff.,1265,1345,0.94,0.98,73.5%,13.6%,7057,3931,1647,473,103,7,6353,209,717,1660,85,99,179,3423,1924,502,340,311,170,445,123,130,96,192,382,25,155,113,197,35,78,13,52,13,64,6,5,3,5,30,0,,,0,4,1,44,1,0,0,,0,,,0,0,,0,,
